Title,Price,Link,Image Link,Sold Date
2016-17 Panini Spectra Signatures /149 Etrit Berisha #S-EB Rookie Auto RC,"383,399.23 VND",https://www.ebay.com/itm/256797978811,https://i.ebayimg.com/images/g/oKIAAOSwcLdnmYhe/s-l140.jpg,"Sold  Mar 26, 2025"
 Topps Euro 2024 - Etrit Berisha + Coat of Arms ALB 2 EXCELLENT!!!,"27,694.78 VND",https://www.ebay.com/itm/167373927809,https://i.ebayimg.com/images/g/MKUAAeSw32Nnttax/s-l140.jpg,"Sold  Mar 23, 2025"
2016 Panini Prizm UEFA Euro Etrit Berisha Flash Prizm    Torino  #191,"75,452.15 VND",https://www.ebay.com/itm/284653388584,https://i.ebayimg.com/images/g/siIAAOSw1R5jmJ4T/s-l140.jpg,"Sold  Mar 22, 2025"
Topps Euro 2024 Sticker Albania ALB 2 Etrit Berisha Captain Euro Border,"96,654.77 VND",https://www.ebay.com/itm/235507400919,https://i.ebayimg.com/images/g/X6cAAOSwWKJmD-o2/s-l140.jpg,"Sold  Mar 14, 2025"
Topps EURO EM 2024 Sticker ALB 2 - Etrit Berisha - Captain,"46,804.17 VND",https://www.ebay.com/itm/305506843864,https://i.ebayimg.com/images/g/FYIAAOSwOaJmGHMo/s-l140.jpg,"Sold  Mar 12, 2025"
 Topps Euro 2024 - Etrit Berisha + Wappen   ALB 2  TOP !!!,"84,469.07 VND",https://www.ebay.com/itm/167328397318,https://i.ebayimg.com/images/g/MKUAAeSw32Nnttax/s-l140.jpg,"Sold  Mar 1, 2025"
2016-17 Panini Donruss ETRIT BERISHA Auto Holo Parallel The Beautiful Game SP,"140,673.50 VND",https://www.ebay.com/itm/306130454670,https://i.ebayimg.com/images/g/ZbEAAOSwQKpnt~bj/s-l140.jpg,"Sold  Mar 1, 2025"
Topps  Euro 2024 - Parallel Gold Edition - Etrit Berisha - ALB 2  !!,"69,236.94 VND",https://www.ebay.com/itm/167319292002,https://i.ebayimg.com/images/g/N8wAAOSwoeZnnzHx/s-l140.jpg,"Sold  Feb 23, 2025"
Topps Euro 2024 Etrit Berisha Alb 2 Blue Blue Parallel Sticker Panini Euro 24,"235,405.59 VND",https://www.ebay.com/itm/286285278105,https://i.ebayimg.com/images/g/vVkAAOSwjJJnlg~Q/s-l140.jpg,"Sold  Feb 2, 2025"
Topps  Euro 2024 - Parallel Topps Foil EDT- Etrit Berisha - ALB 2 ...  TOP,"124,626.49 VND",https://www.ebay.com/itm/167275602232,https://i.ebayimg.com/images/g/IGAAAOSwD9JnklUi/s-l140.jpg,"Sold  Feb 2, 2025"
Black Gold Etrit Berisha Gilded Signatures #GS-EB /25 Albania,"639,425.00 VND",https://www.ebay.com/itm/125980169429,https://i.ebayimg.com/images/g/H6MAAOSwFqJkjg0R/s-l140.jpg,"Sold  Jan 28, 2025"
2016 Panini Prizm UEFA Euro '16 Prizms Blue #191 Etrit Berisha /249,"43,225.13 VND",https://www.ebay.com/itm/365096479258,https://i.ebayimg.com/images/g/OAUAAOSwWeRnjxFI/s-l140.jpg,"Sold  Jan 26, 2025"
Topps UEFA Euro 2024 Match Attax ALB1 Etrit Berisha Albania FOIL,"65,862.31 VND",https://www.ebay.com/itm/405067336465,https://i.ebayimg.com/images/g/wQsAAOSwAtpnrzOF/s-l140.jpg,"Sold  Jan 20, 2025"
Topps Euro 2024 Football Sticker Albania ALB 2 Etrit Berisha Blue Parallel foil,"185,341.17 VND",https://www.ebay.com/itm/296920799711,https://i.ebayimg.com/images/g/yRgAAOSwzuJnd8O8/s-l140.jpg,"Sold  Jan 18, 2025"
Topps Euro 2024 Sticker Albania ALB 2 Etrit Berisha Captain Blue Foil,"165,483.19 VND",https://www.ebay.com/itm/296905904420,https://i.ebayimg.com/images/g/IkcAAOSwmihnbdsp/s-l140.jpg,"Sold  Jan 2, 2025"
