Title,Price,Link,Image Link,Sold Date
Mackenzie Arnold 2024 Parkside NWSL Vol 2 Paris Olympics 18 Portland Thorns 🇦🇺,"96,936.83 VND",https://www.ebay.com/itm/375948490460,https://i.ebayimg.com/images/g/t00AAOSw6qdnlG29/s-l140.jpg,"Sold  Mar 24, 2025"
Mackenzie Arnold 2023 Donruss FIFA Women's World Cup Rookie #10 AUSTRALIA,"76,475.23 VND",https://www.ebay.com/itm/236017993825,https://i.ebayimg.com/images/g/fr0AAOSwOzJlUlse/s-l140.jpg,"Sold  Mar 24, 2025"
Mackenzie Arnold 2023 Donruss FIFA Women's World Cup Rookie #10 AUSTRALIA,"76,475.23 VND",https://www.ebay.com/itm/235842869522,https://i.ebayimg.com/images/g/fr0AAOSwOzJlUlse/s-l140.jpg,"Sold  Dec 6, 2024"
Mackenzie Arnold 2024 Portland Thorns FC #320 Parkside Vol. 2  NWSL Card Shimmer,"76,475.23 VND",https://www.ebay.com/itm/167348547372,https://i.ebayimg.com/images/g/QWIAAOSw7dtnt9fR/s-l140.jpg,"Sold  Mar 9, 2025"
Mackenzie Arnold SIGNED 2023 Panini Donruss FIFA WWC RC Rookie Australia Matilda,"639,169.23 VND",https://www.ebay.com/itm/256824470683,https://i.ebayimg.com/images/g/lqQAAOSw7UJnOQVP/s-l140.jpg,"Sold  Feb 26, 2025"
Mackenzie Arnold 2024 Parkside  Paris NWSL Card #38 Portland Thorns Austraila ,"45,015.52 VND",https://www.ebay.com/itm/186943721625,https://i.ebayimg.com/images/g/Bf0AAeSwPYhnqigS/s-l140.jpg,"Sold  Feb 17, 2025"
2024 PARKSIDE NWSL VOL 2 /100 SHIMMER MACKENZIE ARNOLD #320,"184,154.40 VND",https://www.ebay.com/itm/205232440869,https://i.ebayimg.com/images/g/5SYAAOSwsRBnjHGl/s-l140.jpg,"Sold  Feb 9, 2025"
Mackenzie Arnold 2024 Portland Thorns FC #320 Parkside Vol. 2  NWSL Card Shimmer,"108,702.25 VND",https://www.ebay.com/itm/167289033297,https://i.ebayimg.com/images/g/ma4AAOSwKWNnnsQT/s-l140.jpg,"Sold  Feb 9, 2025"
Mackenzie Arnold 2024 Portland Thorns FC Parkside Vol. 2 NWSL Card #28 Paris,"50,898.23 VND",https://www.ebay.com/itm/167277264915,https://i.ebayimg.com/images/g/4ggAAOSwjnxnjZf-/s-l140.jpg,"Sold  Jan 29, 2025"
Mackenzie Arnold 2024 Portland Thorns FC Parkside Vol. 2 NWSL Card #28 Paris,"50,898.23 VND",https://www.ebay.com/itm/167262984540,https://i.ebayimg.com/images/g/4ggAAOSwjnxnjZf-/s-l140.jpg,"Sold  Jan 25, 2025"
Mackenzie Arnold 2024 Parkside Vol. 2 Paris NWSL Card #28 Portland Thorns,"83,125.25 VND",https://www.ebay.com/itm/186891481133,https://i.ebayimg.com/images/g/iMoAAOSwQnFnhTSi/s-l140.jpg,"Sold  Jan 20, 2025"
